question,category,is_essay,option_1,option_2,option_3,correct_answer,passage
"1. Identify the error in the following sentence: ""The committee, despite facing several internal disagreements, have decided to move forward with the proposed legal amendments.""",Part 1. Verbal Ability & Structural Literacy,FALSE,have decided,proposed legal,to move forward,Option A,
"2. Choose the most concise and grammatically correct version of this sentence: ""The lawyer requested for a postponement due to the fact that his witness was ill.""",Part 1. Verbal Ability & Structural Literacy,FALSE,The lawyer made a request for a postponement because his witness was ill.,The lawyer requested a postponement due to his witness being ill.,The lawyer requested for a postponement because his witness was ill.,Option D,
3. Choose the most grammatically correct sentence.,Part 1. Verbal Ability & Structural Literacy,FALSE,Neither the judge nor the lawyers was aware of the new evidence.,Neither the judge or the lawyers were aware of the new evidence.,Neither the judge nor the lawyers has been aware of the new evidence.,Option D,
"4. Identify the error in the sentence: ""The proliferation of digital assets have necessitated a revision of current property laws.""",Part 1. Verbal Ability & Structural Literacy,FALSE,revision of,Proliferation,current property laws,Option D,
"5. Which word correctly completes the sentence? ""The new regulation will significantly ______ the way small businesses file their taxes.""",Part 1. Verbal Ability & Structural Literacy,FALSE,assent,affect,effect,Option B,
6. Choose the sentence with the correct use of a semicolon.,Part 1. Verbal Ability & Structural Literacy,FALSE,Because the plaintiff filed the motion; the court must rule.,"The plaintiff filed the motion; however, the court has yet to rule on it.",The plaintiff filed the motion; but the court has yet to rule on it.,Option B,
7. Which of the following sentences exhibits faulty parallelism?,Part 1. Verbal Ability & Structural Literacy,FALSE,"The intern's duties include filing documents, answering phones, and organizing the library.","He was known for his integrity, his brilliance, and his tenacity.","The intern's duties include filing documents, answering phones, and to organize the library.",Option C,
"8. Find the error: ""Between you and I, the evidence presented by the prosecution is quite weak.""",Part 1. Verbal Ability & Structural Literacy,FALSE,quite weak,you and I,presented by,Option B,
"9. Identify the error: ""The criteria for the scholarship was so strict that only three students qualified.""",Part 1. Verbal Ability & Structural Literacy,FALSE,so strict,criteria,qualified,Option D,
10. Which of the following sentences is written in the active voice?,Part 1. Verbal Ability & Structural Literacy,FALSE,The verdict had been read already.,Reading the verdict was the clerk's job.,The verdict was read by the court clerk.,Option D,
